alpha;beta;L_z_base;L_h_base;L_z_shock;L_h_shock
0.65;0.75;0.080961643;0.143902058;0.121442465;0.133407031
0.7;0.75;0.076515482;0.134564887;0.114773223;0.125736177
0.75;0.75;0.072785762;0.123145641;0.109178643;0.115867065
0.8;0.75;0.069693553;0.109070411;0.10454033;0.103262615
0.85;0.75;0.067197753;0.091486374;0.10079663;0.087103912
0.2;0.8;0.176782391;0.172242454;0.265173586;0.132957478
0.25;0.8;0.147176445;0.175379038;0.220764667;0.143841228
0.3;0.8;0.126277441;0.176225397;0.189416162;0.150227101
0.35;0.8;0.110763232;0.175465469;0.166144848;0.153648469
0.4;0.8;0.098815732;0.173435463;0.148223598;0.154907513
0.45;0.8;0.08935741;0.170290164;0.134036115;0.15443643
0.5;0.8;0.081710362;0.166073658;0.122565543;0.152455264
0.55;0.8;0.075428285;0.1607494;0.113142428;0.149045011
0.6;0.8;0.070207216;0.154209535;0.105310825;0.144179933
0.65;0.8;0.065835342;0.146270519;0.098753013;0.137736308
0.7;0.8;0.062163683;0.136656149;0.093245524;0.129483416
0.75;0.8;0.059088774;0.124964772;0.088633161;0.119055895
0.8;0.8;0.056542979;0.110612202;0.084814468;0.105900288
0.85;0.8;0.054490531;0.092732659;0.081735796;0.089178929
0.2;0.85;0.138717496;0.180206801;0.208076243;0.149380691
0.25;0.85;0.114598898;0.182078452;0.171898347;0.157521546
0.3;0.85;0.09779542;0.181970076;0.14669313;0.161835725
0.35;0.85;0.085438279;0.180462625;0.128157419;0.163633873
0.4;0.85;0.075989027;0.177828527;0.113983541;0.163580584
0.45;0.85;0.068549407;0.174181261;0.102824111;0.162019269
0.5;0.85;0.062560737;0.169536888;0.093841105;0.159110099
0.55;0.85;0.057658484;0.163838923;0.086487726;0.154891916
0.6;0.85;0.053596121;0.156964546;0.080394181;0.149307957
0.65;0.85;0.050202786;0.148718248;0.075304179;0.142210479
0.7;0.85;0.047358761;0.138813438;0.071038141;0.133348965
0.75;0.85;0.044981049;0.126838454;0.067471574;0.122340349
0.8;0.85;0.043015287;0.112198208;0.064522931;0.1086136
0.85;0.85;0.041432315;0.094013369;0.062148473;0.091311262
